asset,environment,reachability,control_effectiveness,business_criticality,reachability_source,control_source
NS-WEB-PORTAL-01,PROD,INTERNET,STRONG,CRITICAL,zone:DMZ,control:waf@2026-08-14
NS-WEB-PORTAL-02,PROD,INTERNET,NONE,CRITICAL,zone:DMZ,no-control
NS-API-GW-01,PROD,INTERNET,PARTIAL,CRITICAL,zone:DMZ,control:waf@2026-08-14
NS-MAIL-GW-01,PROD,INTERNET,PARTIAL,CRITICAL,zone:DMZ,control:edr@2026-09-02
NS-VPN-GW-01,PROD,INTERNET,NONE,CRITICAL,zone:DMZ,no-control
NS-EDGE-RTR-01,PROD,INTERNET,NONE,CRITICAL,zone:DMZ,no-control
NS-APP-ORDER-01,PROD,INTERNAL,NONE,CRITICAL,zone:APP,no-control
NS-APP-BILLING-01,PROD,INTERNAL,NONE,CRITICAL,zone:APP,no-control
NS-APP-INTRANET-01,PROD,INTERNAL,UNKNOWN,IMPORTANT,zone:APP,control:edr@2026-05-30 (expired 117d)
NS-APP-REPORT-01,PROD,INTERNAL,NONE,NORMAL,zone:APP,no-control
NS-DB-CUSTOMER-01,PROD,INTERNAL,STRONG,CRITICAL,zone:DATA,control:network_segmentation@2026-09-10
NS-DB-BILLING-01,PROD,INTERNAL,STRONG,CRITICAL,zone:DATA,control:network_segmentation@2026-09-10
NS-BACKUP-01,PROD,INTERNAL,NONE,CRITICAL,zone:DATA,no-control
NS-FILE-SRV-01,PROD,INTERNAL,NONE,NORMAL,zone:CORP,no-control
NS-AD-DC-01,PROD,INTERNAL,STRONG,CRITICAL,zone:MGMT,control:mfa_admin_tiering@2026-08-28
NS-JUMP-01,PROD,INTERNAL,PARTIAL,CRITICAL,zone:MGMT,control:mfa@2026-09-05
NS-MON-01,PROD,INTERNAL,NONE,IMPORTANT,zone:MGMT,no-control
NS-OPS-WS-07,PROD,INTERNAL,NONE,IMPORTANT,zone:CORP,no-control
NS-PLC-DC-ENV,PROD,ISOLATED,NONE,IMPORTANT,zone:OT,no-control
NS-LAB-CONFLUENCE-01,NON_PROD,ISOLATED,NONE,NORMAL,zone:LAB,no-control
