asset_id,hostname,zone,environment,business_role,criticality,crown_jewel,owner_team
NS-WEB-PORTAL-01,web-portal-01,DMZ,PROD,customer_portal,CRITICAL,no,platform-team
NS-WEB-PORTAL-02,web-portal-02,DMZ,PROD,customer_portal,CRITICAL,no,platform-team
NS-API-GW-01,api-gw-01,DMZ,PROD,api_gateway,CRITICAL,no,platform-team
NS-MAIL-GW-01,mail-gw-01,DMZ,PROD,mail_gateway,CRITICAL,no,it-ops
NS-VPN-GW-01,vpn-gw-01,DMZ,PROD,remote_access,CRITICAL,no,network-team
NS-EDGE-RTR-01,edge-rtr-01,DMZ,PROD,edge_router,CRITICAL,no,network-team
NS-APP-ORDER-01,app-order-01,APP,PROD,order_service,CRITICAL,no,order-team
NS-APP-BILLING-01,app-billing-01,APP,PROD,billing_service,CRITICAL,no,billing-team
NS-APP-INTRANET-01,app-intranet-01,APP,PROD,intranet_app,IMPORTANT,no,it-ops
NS-APP-REPORT-01,app-report-01,APP,PROD,reporting,NORMAL,no,data-team
NS-DB-CUSTOMER-01,db-customer-01,DATA,PROD,customer_database,CRITICAL,yes,dba-team
NS-DB-BILLING-01,db-billing-01,DATA,PROD,billing_database,CRITICAL,yes,dba-team
NS-BACKUP-01,backup-01,DATA,PROD,backup_vault,CRITICAL,yes,it-ops
NS-FILE-SRV-01,file-srv-01,CORP,PROD,file_server,NORMAL,no,it-ops
NS-AD-DC-01,ad-dc-01,MGMT,PROD,domain_controller,CRITICAL,yes,identity-team
NS-JUMP-01,jump-01,MGMT,PROD,admin_jump_host,CRITICAL,no,infra-sec
NS-MON-01,mon-01,MGMT,PROD,monitoring,IMPORTANT,no,sre-team
NS-OPS-WS-07,ops-ws-07,CORP,PROD,ops_workstation,IMPORTANT,no,it-ops
NS-PLC-DC-ENV,plc-dc-env,OT,PROD,datacenter_hvac,IMPORTANT,no,facility-team
NS-LAB-CONFLUENCE-01,lab-confluence-01,LAB,NON_PROD,lab_wiki,NORMAL,no,platform-team
