asset,cve,cvss,service
NS-WEB-PORTAL-01,CVE-2021-41773,9.8,apache-httpd
NS-WEB-PORTAL-01,CVE-2023-44487,7.5,nginx-http2
NS-WEB-PORTAL-01,CVE-2013-2566,5.9,tls-rc4
NS-WEB-PORTAL-02,CVE-2021-41773,9.8,apache-httpd
NS-WEB-PORTAL-02,CVE-2023-44487,7.5,nginx-http2
NS-WEB-PORTAL-02,CVE-2015-4000,3.7,tls-dhe
NS-API-GW-01,CVE-2021-44228,10,log4j2
NS-API-GW-01,CVE-2022-22965,9.8,spring-boot
NS-API-GW-01,CVE-2016-2107,5.9,openssl
NS-MAIL-GW-01,CVE-2021-26855,9.8,exchange-owa
NS-MAIL-GW-01,CVE-2022-41082,8,exchange-owa
NS-MAIL-GW-01,CVE-2011-3389,,tls-cbc
NS-VPN-GW-01,CVE-2024-21762,9.8,fortios-ssl-vpn
NS-VPN-GW-01,CVE-2018-13379,9.8,fortios-ssl-vpn
NS-EDGE-RTR-01,CVE-2023-20198,10,ios-xe-webui
NS-EDGE-RTR-01,CVE-2025-21590,4.4,junos-cli
NS-APP-ORDER-01,CVE-2021-44228,10,log4j2
NS-APP-ORDER-01,CVE-2020-1938,9.8,tomcat-ajp
NS-APP-BILLING-01,CVE-2023-34362,9.8,moveit-transfer
NS-APP-BILLING-01,CVE-2021-3156,7.8,sudo
NS-APP-INTRANET-01,CVE-2021-44228,10,java-app
NS-APP-INTRANET-01,CVE-2023-22515,9.8,confluence
NS-APP-INTRANET-01,CVE-2021-23017,7.7,nginx-resolver
NS-APP-REPORT-01,CVE-2020-1938,9.8,tomcat-ajp
NS-APP-REPORT-01,CVE-2016-2107,5.9,openssl
NS-DB-CUSTOMER-01,CVE-2016-5195,7,linux-kernel
NS-DB-CUSTOMER-01,CVE-2021-3156,7.8,sudo
NS-DB-BILLING-01,CVE-2022-0847,7.8,linux-kernel
NS-BACKUP-01,CVE-2017-0144,8.8,smb-v1
NS-BACKUP-01,CVE-2014-0160,7.5,openssl
NS-FILE-SRV-01,CVE-2017-0144,8.8,smb-v1
NS-FILE-SRV-01,CVE-2018-15919,5.3,openssh
NS-AD-DC-01,CVE-2020-1472,10,netlogon
NS-AD-DC-01,CVE-2021-34527,8.8,print-spooler
NS-JUMP-01,CVE-2019-0708,9.9,rdp
NS-MON-01,CVE-2021-44228,,log4j2
NS-OPS-WS-07,CVE-2023-4863,8.8,chromium-webp
NS-PLC-DC-ENV,CVE-2024-6242,,controllogix
NS-LAB-CONFLUENCE-01,CVE-2022-26134,9.8,confluence
NS-SHADOW-NAS-02,CVE-2017-0144,8.8,smb-v1
